year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2006,"Indianapolis-Carmel, IN",11341,9320,372,300,1349,119,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Iowa City, IA",1090,722,2,4,362,29,NA
2006,"Ithaca, NY",307,162,16,0,129,15,NA
2006,"Jackson, MI",587,498,2,0,87,4,NA
2006,"Jackson, MS",3722,3524,10,0,188,22,NA
2006,"Jackson, TN",740,644,16,0,80,10,NA
2006,"Jacksonville, FL",16967,11500,276,63,5128,277,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Jacksonville, NC",2045,1690,122,84,149,10,NA
2006,"Janesville, WI",758,571,32,3,152,9,NA
2006,"Jefferson City, MO",503,397,6,12,88,7,NA
2006,"Johnson City, TN",1440,1283,24,33,100,15,NA
2006,"Johnstown, PA",232,175,6,0,51,8,NA
2006,"Jonesboro, AR",680,529,6,49,96,4,NA
2006,"Joplin, MO",528,409,40,9,70,6,NA
2006,"Kalamazoo-Portage, MI",1439,1095,16,37,291,28,NA
2006,"Kankakee-Bradley, IL",630,590,20,0,20,4,NA
2006,"Kansas City, MO-KS",13205,8714,516,756,3219,210,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Kennewick-Richland-Pasco, WA",1724,1714,10,0,0,0,NA
2006,"Killeen-Temple-Fort Hood, TX",4573,2808,504,532,729,49,NA
2006,"Kingsport-Bristol-Bristol, TN-VA",1407,1163,8,0,236,25,NA
2006,"Kingston, NY",602,531,4,4,63,2,NA
2006,"Knoxville, TN",6453,5301,22,57,1073,62,NA
2006,"Kokomo, IN",194,168,2,0,24,1,NA
2006,"La Crosse, WI-MN",616,450,18,23,125,6,NA
2006,"Lafayette, IN",918,720,32,4,162,10,NA
2006,"Lafayette, LA",2490,2055,12,8,415,28,NA
2006,"Lake Charles, LA",630,560,20,0,50,6,NA
2006,"Lakeland, FL",9323,7609,38,29,1647,100,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Lancaster, PA",1887,1705,62,14,106,6,NA
2006,"Lansing-East Lansing, MI",1231,941,14,6,270,18,NA
2006,"Laredo, TX",2395,1941,4,131,319,17,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Las Cruces, NM",2385,2070,24,72,219,26,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Las Vegas-Paradise, NV",33728,21590,64,674,11400,351,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Lawrence, KS",545,438,16,19,72,9,NA
2006,"Lawton, OK",582,308,14,32,228,10,NA
2006,"Lebanon, PA",564,562,2,0,0,0,NA
2006,"Lewiston, ID-WA",210,156,22,0,32,1,NA
2006,"Lewiston-Auburn, ME",320,304,16,0,0,0,NA
2006,"Lexington-Fayette, KY",3677,3058,26,95,498,31,NA
2006,"Lima, OH",193,184,6,3,0,0,NA
2006,"Lincoln, NE",1424,1198,24,4,198,27,NA
2006,"Little Rock-North Little Rock, AR",4175,3767,106,6,296,13,NA
2006,"Logan, UT-ID",996,815,0,40,141,13,NA
2006,"Longview, TX",651,376,6,0,269,13,NA
2006,"Longview, WA",703,620,16,3,64,3,NA
2006,"Los Angeles-Long Beach-Santa Ana, CA",33505,13686,722,754,18343,663,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Louisville-Jefferson County, KY-IN",5665,4709,50,159,747,60,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Lubbock, TX",1514,1243,50,3,218,25,NA
2006,"Lynchburg, VA",1840,1816,12,4,8,1,NA
2006,"Macon, GA",1577,1571,6,0,0,0,NA
2006,"Madera, CA",1376,1269,6,20,81,12,NA
2006,"Madison, WI",3724,1889,190,162,1483,87,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Manchester-Nashua, NH",1346,1085,52,23,186,10,NA
2006,"Mansfield, OH",231,202,8,21,0,0,NA
2006,"McAllen-Edinburg-Mission, TX",8046,6870,92,532,552,45,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Medford, OR",1333,1067,80,51,135,21,NA
2006,"Memphis, TN-MS-AR",10251,8615,0,211,1425,70,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Merced, CA",2216,2136,16,35,29,4,NA
2006,"Miami-Fort Lauderdale-Miami Beach, FL",35110,14750,664,330,19366,636,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Michigan City-La Porte, IN",382,375,0,7,0,0,NA
2006,"Midland, TX",470,470,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Milwaukee-Waukesha-West Allis, WI",4290,2624,142,196,1328,63,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Minneapolis-St. Paul-Bloomington, MN-WI",15712,11889,86,171,3566,100,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Missoula, MT",518,403,40,4,71,7,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Mobile, AL",2777,2316,0,52,409,38,NA
2006,"Modesto, CA",2644,2271,32,48,293,17,NA
2006,"Monroe, LA",883,681,6,57,139,18,NA
2006,"Monroe, MI",672,560,4,7,101,14,NA
2006,"Montgomery, AL",1590,1584,6,0,0,0,NA
2006,"Morgantown, WV",165,156,0,9,0,0,NA
2006,"Morristown, TN",688,677,8,3,0,0,NA
2006,"Mount Vernon-Anacortes, WA",1009,902,18,16,73,4,NA
2006,"Muncie, IN",208,153,8,32,15,2,NA
2006,"Muskegon-Norton Shores, MI",480,425,32,8,15,2,NA
2006,Myrtle Beach-Conway-North Myrtle Beac SC,10335,6484,34,94,3723,165,NA
2006,"Napa, CA",507,267,0,4,236,17,NA
2006,"Naples-Marco Island, FL",4788,2829,16,920,1023,92,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Nashville-Davidson--Murfreesboro, TN",15327,13811,266,55,1195,54,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"New Haven-Milford, CT",1654,1156,72,7,419,24,NA
2006,"New Orleans-Metairie-Kenner, LA",5534,4915,294,39,286,24,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,New York-Northern New Jersey-Long Isl NY-NJ-PA,60987,16484,6462,6809,31232,1269,NA
2006,"Niles-Benton Harbor, MI",625,572,2,3,48,6,NA
2006,"Norwich-New London, CT",1006,801,36,0,169,10,NA
2006,"Ocala, FL",7063,6753,54,51,205,24,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Ocean City, NJ",1580,774,276,107,423,40,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Odessa, TX",261,261,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Ogden-Clearfield, UT",4922,4529,60,123,210,17,NA
2006,"Oklahoma City, OK",7433,6975,46,17,395,23,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Olympia, WA",3204,2493,46,174,491,29,NA
2006,"Omaha-Council Bluffs, NE-IA",5466,4199,80,93,1094,60,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Orlando-Kissimmee, FL",30984,23646,96,421,6821,319,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Oshkosh-Neenah, WI",816,469,50,39,258,26,NA
2006,"Owensboro, KY",351,325,2,24,0,0,NA
2006,"Oxnard-Thousand Oaks-Ventura, CA",2244,1426,106,76,636,39,NA
2006,"Palm Bay-Melbourne-Titusville, FL",5044,3967,14,18,1045,45,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Panama City-Lynn Haven, FL",3076,920,74,130,1952,60,NA
2006,"Parkersburg-Marietta-Vienna, WV-OH",295,283,6,6,0,0,NA
2006,"Pascagoula, MS",1541,1284,12,32,213,13,NA
2006,"Pensacola-Ferry Pass-Brent, FL",2811,2141,66,6,598,21,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Peoria, IL",1622,1223,164,8,227,21,NA
2006,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17212,11717,308,229,4958,212,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Phoenix-Mesa-Scottsdale, AZ",44280,36282,130,1366,6502,429,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Pine Bluff, AR",101,92,6,3,0,0,NA
2006,"Pittsburgh, PA",5633,4367,80,161,1025,71,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Pittsfield, MA",352,352,0,0,0,0,NA
2006,"Pocatello, ID",701,629,38,24,10,1,NA
2006,"Port St. Lucie-Fort Pierce, FL",6328,5572,26,87,643,44,NA
2006,"Portland-South Portland-Biddeford, ME",3202,2750,156,70,226,21,NA
2006,"Portland-Vancouver-Beaverton, OR-WA NA",15376,10210,240,260,4666,242,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Poughkeepsie-Newburgh-Middletown, NY",2200,1769,14,10,407,51,NA
2006,"Prescott, AZ",2987,2869,30,24,64,10,NA
2006,"Providence-New Bedford-Fall River, RI-MA",3685,2831,360,153,341,27,NA
2006,"Provo-Orem, UT",6486,5464,38,183,801,47,NA
2006,"Pueblo, CO",1304,1202,102,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Punta Gorda, FL",4335,3052,138,293,852,62,NA
2006,"Racine, WI",806,484,28,60,234,6,NA
2006,"Raleigh-Cary, NC",17712,13521,126,57,4008,132,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Rapid City, SD",956,713,20,9,214,19,NA
2006,"Reading, PA",1173,1063,70,4,36,3,NA
2006,"Redding, CA",952,733,26,85,108,6,NA
2006,"Reno-Sparks, NV",3670,3345,14,68,243,10,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Richmond, VA",7980,7491,28,146,315,19,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Riverside-San Bernardino-Ontario, CA",38089,33498,434,529,3628,332,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Roanoke, VA",1228,1189,6,7,26,4,NA
2006,"Rochester, MN",1109,844,12,3,250,30,NA
2006,"Rochester, NY",2288,1961,34,59,234,16,NA
2006,"Rockford, IL",2163,1929,142,73,19,3,NA
2006,"Rocky Mount, NC",702,685,14,3,0,0,NA
2006,"Rome, GA",465,391,70,4,0,0,NA
2006,"Sacramento--Arden-Arcade--Roseville, CA",11877,8714,128,177,2858,220,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Saginaw-Saginaw Township North, MI",270,236,34,0,0,0,NA
2006,"Salem, OR",2353,1729,90,54,480,46,NA
2006,"Salinas, CA",865,752,10,10,93,5,NA
2006,"Salisbury, MD",1217,836,0,0,381,14,NA
2006,"Salt Lake City, UT",7669,6507,62,138,962,49,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Angelo, TX",489,369,0,0,120,10,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Antonio, TX",19761,13841,138,400,5382,286,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Diego-Carlsbad-San Marcos, CA",9191,4743,198,303,3947,201,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Francisco-Oakland-Fremont, CA",14483,5900,110,260,8213,273,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Jose-Sunnyvale-Santa Clara, CA",6150,2151,10,90,3899,153,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"San Luis Obispo-Paso Robles, CA",1764,1388,72,55,249,19,NA
2006,"Sandusky, OH",196,172,0,24,0,0,NA
2006,"Santa Barbara-Santa Maria, CA",873,690,18,51,114,7,NA
2006,"Santa Cruz-Watsonville, CA",711,539,6,16,150,13,NA
2006,"Santa Fe, NM",417,417,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Santa Rosa-Petaluma, CA",1912,1357,86,4,465,19,NA
2006,"Sarasota-Bradenton-Venice, FL",7671,5983,54,113,1521,111,NA
2006,"Savannah, GA",4859,4193,20,24,622,40,NA
2006,"Scranton--Wilkes-Barre, PA",1474,1340,10,43,81,7,NA
2006,"Seattle-Tacoma-Bellevue, WA",25743,15211,820,960,8752,284,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Sebastian-Vero Beach, FL",3143,2839,8,28,268,32,NA
2006,"Sheboygan, WI",476,277,72,8,119,3,NA
2006,"Sherman-Denison, TX",445,355,14,0,76,4,NA
2006,"Shreveport-Bossier City, LA",1772,1718,6,8,40,3,NA
2006,"Sioux City, IA-NE-SD",310,276,20,14,0,0,NA
2006,"Sioux Falls, SD",2323,1646,38,175,464,38,NA
2006,"South Bend-Mishawaka, IN-MI",1299,725,4,0,570,33,NA
2006,"Spartanburg, SC",2156,2156,0,0,0,0,NA
2006,"Spokane, WA",3764,2647,40,41,1036,64,NA
2006,"Springfield, IL",853,634,104,12,103,4,NA
2006,"Springfield, MA",1658,1219,142,12,285,7,NA
2006,"Springfield, MO",4758,3089,292,73,1304,60,NA
2006,"Springfield, OH",200,190,2,8,0,0,NA
2006,"St. Cloud, MN",1267,1100,8,12,147,15,NA
2006,"St. George, UT",2253,2078,12,15,148,13,NA
2006,"St. Joseph, MO-KS",228,181,32,0,15,1,NA
2006,"St. Louis, MO-IL",11807,10138,224,221,1224,69,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"State College, PA",678,624,22,0,32,2,NA
2006,"Stockton, CA",3652,3461,8,51,132,11,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Sumter, SC",768,760,8,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Syracuse, NY",1674,1383,8,7,276,13,NA
2006,"Tallahassee, FL",3018,2430,36,38,514,44,NA
2006,"Tampa-St. Petersburg-Clearwater, FL NA",22640,18294,290,330,3726,232,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Terre Haute, IN",467,286,16,6,159,15,NA
2006,"Texarkana, TX-Texarkana, AR",226,199,24,3,0,0,NA
2006,"Toledo, OH",1980,1661,50,23,246,15,NA
2006,"Topeka, KS",920,815,22,24,59,4,NA
2006,"Trenton-Ewing, NJ",847,578,64,0,205,5,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Tucson, AZ",8522,8132,104,108,178,8,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Tulsa, OK",5181,4830,130,16,205,7,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Tuscaloosa, AL",2618,1183,0,0,1435,87,NA
2006,"Tyler, TX",679,576,0,15,88,13,NA
2006,"Utica-Rome, NY",638,566,14,3,55,6,NA
2006,"Valdosta, GA",1462,1259,36,8,159,17,NA
2006,"Vallejo-Fairfield, CA",1205,1002,4,19,180,11,NA
2006,"Victoria, TX",239,239,0,0,0,0,NA
2006,"Vineland-Millville-Bridgeton, NJ",737,693,14,30,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Virginia Beach-Norfolk-Newport News, VA-NC",7689,5880,198,452,1159,62,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Visalia-Porterville, CA",3575,2815,204,243,313,34,NA
2006,"Waco, TX",1053,958,72,23,0,0,NA
2006,"Warner Robins, GA",2113,1677,0,8,428,32,NA
2006,"Washington-Arlington-Alexandria, DC-VA-MD-WV",27958,18471,36,6,9445,178,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Waterloo-Cedar Falls, IA",645,521,10,8,106,5,NA
2006,"Wausau, WI",676,514,32,12,118,13,NA
2006,"Weirton-Steubenville, WV-OH",51,51,0,0,0,0,NA
2006,"Wenatchee, WA",1041,863,20,80,78,7,NA
2006,"Wheeling, WV-OH",73,49,0,0,24,3,NA
2006,"Wichita Falls, TX",358,328,10,20,0,0,NA
2006,"Wichita, KS",3656,2787,124,14,731,33,NA
2006,"Williamsport, PA",300,288,8,4,0,0,NA
2006,"Wilmington, NC",7107,6205,32,74,796,46,"Metropolitan areas where all permit offices are
    requested to report monthly."
2006,"Winchester, VA-WV",1428,1392,0,0,36,3,NA
2006,"Winston-Salem, NC",3787,3538,18,12,219,15,NA
2006,"Worcester, MA",2685,2265,64,59,297,17,NA
2006,"Yakima, WA",692,653,4,9,26,5,NA
2006,"York-Hanover, PA",2903,2467,84,80,272,23,NA
2006,"Youngstown-Warren-Boardman, OH-PA",956,847,44,39,26,4,NA
2006,"Yuba City, CA",1349,1311,2,0,36,6,NA
2006,"Yuma, AZ",1574,1563,4,7,0,0,NA
2007,"Abilene, TX",293,283,10,0,0,0,NA
2007,"Akron, OH",1594,1379,4,29,182,14,NA
2007,"Albany, GA",590,463,30,32,65,3,NA
2007,"Albany-Schenectady-Troy, NY",2703,1591,36,95,981,71,NA
2007,"Albuquerque, NM",4499,3696,6,198,599,23,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Alexandria, LA",572,564,0,8,0,0,NA
2007,"Allentown-Bethlehem-Easton, PA-NJ",2789,2640,20,14,115,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Altoona, PA",294,140,2,0,152,1,NA
2007,"Amarillo, TX",1315,675,8,0,632,43,NA
2007,"Ames, IA",360,244,0,0,116,6,NA
2007,"Anchorage, AK",970,379,152,127,312,23,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Anderson, IN",243,241,2,0,0,0,NA
2007,"Anderson, SC",1226,1156,18,8,44,7,NA
2007,"Ann Arbor, MI",565,490,2,8,65,12,NA
2007,"Anniston-Oxford, AL",472,264,2,0,206,13,NA
2007,"Appleton, WI",800,673,46,3,78,7,NA
2007,"Asheville, NC",3648,3324,24,103,197,14,NA
2007,"Athens-Clarke County, GA",1691,1164,4,22,501,31,NA
2007,"Atlanta-Sandy Springs-Marietta, GA",44770,31089,188,481,13012,369,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Atlantic City, NJ",1136,1025,36,12,63,3,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Auburn-Opelika, AL",1503,1181,22,3,297,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Augusta-Richmond County, GA-SC",3349,3007,10,0,332,17,NA
2007,"Austin-Round Rock, TX",19903,12120,328,553,6902,253,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Bakersfield, CA",4202,3318,386,265,233,17,NA
2007,"Baltimore-Towson, MD",6207,4775,0,4,1428,60,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Bangor, ME",498,433,6,16,43,4,NA
2007,"Barnstable Town, MA",818,679,10,22,107,16,NA
2007,"Baton Rouge, LA",6367,4360,124,72,1811,94,NA
2007,"Battle Creek, MI",240,136,0,0,104,9,NA
2007,"Bay City, MI",199,118,0,0,81,1,NA
2007,"Beaumont-Port Arthur, TX",2288,1081,10,164,1033,34,NA
2007,"Bellingham, WA",1232,858,36,140,198,16,NA
2007,"Bend, OR",1785,1574,20,25,166,21,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Billings, MT",663,638,12,13,0,0,NA
2007,"Binghamton, NY",306,264,0,0,42,3,NA
2007,"Birmingham-Hoover, AL",5433,4930,2,15,486,20,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Bismarck, ND",947,709,6,56,176,7,NA
2007,"Blacksburg-Christiansburg-Radford, VA",852,568,2,40,242,6,NA
2007,"Bloomington, IN",875,558,24,24,269,10,NA
2007,"Bloomington-Normal, IL",653,425,2,3,223,27,NA
2007,"Boise City-Nampa, ID",4864,3762,146,781,175,11,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Boston-Cambridge-Quincy, MA-NH",11248,5305,434,280,5229,262,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Boulder, CO",635,397,10,17,211,17,NA
2007,"Bowling Green, KY",827,647,36,16,128,16,NA
2007,"Bremerton-Silverdale, WA",1370,1239,38,3,90,8,NA
2007,"Bridgeport-Stamford-Norwalk, CT",2290,1438,86,39,727,24,NA
2007,"Brownsville-Harlingen, TX",2091,1728,94,131,138,15,NA
2007,"Brunswick, GA",835,829,6,0,0,0,NA
2007,"Buffalo-Niagara Falls, NY",1932,1388,6,8,530,26,NA
2007,"Burlington, NC",1441,1441,0,0,0,0,NA
2007,"Burlington-South Burlington, VT",717,446,60,36,175,14,NA
2007,"Canton-Massillon, OH",728,618,10,0,100,20,NA
2007,"Cape Coral-Fort Myers, FL",5905,4356,36,40,1473,106,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Carson City, NV",51,45,2,4,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Casper, WY",429,429,0,0,0,0,NA
2007,"Cedar Rapids, IA",1187,840,60,131,156,14,NA
2007,"Champaign-Urbana, IL",1613,657,12,22,922,38,NA
2007,"Charleston, WV",550,463,14,4,69,6,NA
2007,"Charleston-North Charleston,  SC",6780,5602,12,18,1148,60,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Charlotte-Gastonia-Concord, NC-SC",21190,15902,30,104,5154,185,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Charlottesville, VA",1317,1151,4,0,162,6,NA
2007,"Chattanooga, TN-GA",2687,2118,46,53,470,38,NA
2007,"Cheyenne, WY",316,316,0,0,0,0,NA
2007,"Chicago-Naperville-Joliet, IL-IN-WI NA",33933,18095,568,1261,14009,486,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Chico, CA",985,804,2,31,148,14,NA
2007,"Cincinnati-Middletown, OH-KY-IN",6884,5289,130,292,1173,113,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Clarksville, TN-KY",2222,1623,88,271,240,27,NA
2007,"Cleveland, TN",819,651,34,65,69,5,NA
2007,"Cleveland-Elyria-Mentor, OH",4075,3574,44,60,397,38,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Coeur dAlene, ID",1661,995,50,28,588,45,NA
2007,"College Station-Bryan, TX",1927,891,60,15,961,69,NA
2007,"Colorado Springs, CO",3229,2824,44,64,297,18,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Columbia, MO",1166,865,150,4,147,12,NA
2007,"Columbia, SC",6865,5576,28,13,1248,63,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Columbus, GA-AL",1808,1199,10,36,563,43,NA
2007,"Columbus, IN",257,257,0,0,0,0,NA
2007,"Columbus, OH",6402,4322,66,500,1514,181,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Corpus Christi, TX",2017,1771,8,19,219,16,NA
2007,"Corvallis, OR",213,193,8,12,0,0,NA
2007,"Cumberland, MD-WV",246,244,2,0,0,0,NA
2007,"Dallas-Fort Worth-Arlington, TX",43568,28156,372,532,14508,490,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Dalton, GA",670,522,24,33,91,14,NA
2007,"Danville, IL",47,23,0,0,24,3,NA
2007,"Danville, VA",288,174,4,0,110,11,NA
2007,"Davenport-Moline-Rock Island,  IA-IL NA",1190,688,10,0,492,39,NA
2007,"Dayton, OH",1577,1501,20,4,52,6,NA
2007,"Decatur, AL",467,403,0,0,64,3,NA
2007,"Decatur, IL",146,134,4,8,0,0,NA
2007,"Deltona-Daytona Beach-Ormond Beach, FL",2185,1520,32,0,633,41,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Denver-Aurora, CO",14217,7859,236,138,5984,185,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Des Moines-West Des Moines, IA",3850,3164,72,35,579,30,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Detroit-Warren-Livonia, MI",4325,3833,22,50,420,28,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Dothan, AL",351,351,0,0,0,0,NA
2007,"Dover, DE",1484,1317,0,28,139,8,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Dubuque, IA",367,320,22,13,12,1,NA
2007,"Duluth, MN-WI",1001,829,20,15,137,23,NA
2007,"Durham, NC",3254,2845,98,63,248,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Eau Claire, WI",651,504,52,11,84,10,NA
2007,"El Centro, CA",969,648,8,65,248,27,NA
2007,"El Paso, TX",4379,3190,4,206,979,86,NA
2007,"Elizabethtown, KY",1043,678,24,51,290,25,NA
2007,"Elkhart-Goshen, IN",681,613,8,8,52,3,NA
2007,"Elmira, NY",92,74,6,12,0,0,NA
2007,"Erie, PA",810,583,14,21,192,16,NA
2007,"Eugene-Springfield, OR",1490,1045,74,51,320,13,NA
2007,"Evansville, IN-KY",1350,916,24,57,353,40,NA
2007,"Fairbanks, AK",113,88,12,13,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Fargo, ND-MN",1803,1109,2,81,611,16,NA
2007,"Farmington, NM",371,371,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Fayetteville, NC",2664,2083,12,4,565,28,NA
2007,"Fayetteville-Springdale-Rogers, AR-MO",3373,2259,248,122,744,58,NA
2007,"Flagstaff, AZ",477,471,6,0,0,0,NA
2007,"Flint, MI",476,434,10,0,32,1,NA
2007,"Florence, SC",1049,777,0,0,272,12,NA
2007,"Florence-Muscle Shoals, AL",448,310,24,0,114,10,NA
2007,"Fond du Lac, WI",273,243,18,7,5,1,NA
2007,"Fort Collins-Loveland, CO",1341,1116,10,18,197,18,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Fort Smith, AR-OK",1105,800,106,28,171,12,NA
2007,"Fort Walton Beach-Crestview-Destin, FL",773,628,0,4,141,7,NA
2007,"Fort Wayne, IN",1115,1070,6,0,39,6,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Fresno, CA",4855,3645,48,327,835,101,NA
2007,"Gadsden, AL",262,238,0,0,24,3,NA
2007,"Gainesville, FL",1475,740,4,0,731,27,NA
2007,"Gainesville, GA",1327,1283,4,30,10,2,NA
2007,"Glens Falls, NY",497,452,14,7,24,1,NA
2007,"Goldsboro, NC",469,469,0,0,0,0,NA
2007,"Grand Forks, ND-MN",404,252,0,0,152,5,NA
2007,"Grand Junction, CO",1366,1310,32,0,24,3,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Grand Rapids-Wyoming, MI",1866,1636,24,23,183,23,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Great Falls, MT",316,240,0,4,72,5,NA
2007,"Greeley, CO",1847,1556,0,9,282,13,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Green Bay, WI",1893,1559,42,12,280,22,NA
2007,"Greensboro-High Point, NC",4966,3724,28,15,1199,58,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Greenville, NC",2548,1352,246,0,950,91,NA
2007,"Greenville, SC",5411,4375,38,25,973,49,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Gulfport-Biloxi, MS",5492,2584,170,295,2443,153,NA
2007,"Hagerstown-Martinsburg, MD-WV",1805,1604,10,23,168,12,NA
2007,"Hanford-Corcoran, CA",497,472,22,3,0,0,NA
2007,"Harrisburg-Carlisle, PA",2229,2030,10,13,176,9,NA
2007,"Harrisonburg, VA",1306,902,4,0,400,36,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Hartford-West Hartford-East Hartford, CT",2795,1890,94,29,782,58,NA
2007,"Hattiesburg, MS",1131,297,10,48,776,31,NA
2007,"Hickory-Lenoir-Morganton, NC",1668,1594,22,4,48,1,NA
2007,"Hinesville-Fort Stewart, GA",475,211,0,0,264,11,NA
2007,"Holland-Grand Haven, MI",1048,749,36,19,244,20,NA
2007,"Honolulu, HI",2944,1152,0,148,1644,44,"Metropolitan areas where all permit offices are
    requested to report monthly."
2007,"Hot Springs, AR",96,96,0,0,0,0,NA
2007,"Houma-Bayou Cane-Thibodaux, LA",722,684,14,24,0,0,NA
