year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2005,"Punta Gorda, FL",4694,2902,220,242,1330,96,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Racine, WI",1006,810,34,64,98,5,NA
2005,"Raleigh-Cary, NC",14614,13967,92,77,478,24,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Rapid City, SD",1176,942,40,141,53,5,NA
2005,"Reading, PA",1368,1273,14,6,75,6,NA
2005,"Redding, CA",1566,1326,30,62,148,7,NA
2005,"Reno-Sparks, NV",6329,5158,10,58,1103,116,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Richmond, VA",9832,8769,8,184,871,69,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Riverside-San Bernardino-Ontario, CA",51008,45485,432,639,4452,309,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Roanoke, VA",1604,1410,16,11,167,7,NA
2005,"Rochester, MN",1542,1107,14,4,417,20,NA
2005,"Rochester, NY",2730,2255,34,22,419,17,NA
2005,"Rockford, IL",2566,2040,126,377,23,4,NA
2005,"Rocky Mount, NC",766,669,50,47,0,0,NA
2005,"Rome, GA",613,424,94,4,91,8,NA
2005,"Sacramento--Arden-Arcade--Roseville, CA",20182,16380,40,269,3493,422,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"Saginaw-Saginaw Township North, MI",582,484,62,0,36,1,NA
2005,"Salem, OR",2438,2083,92,44,219,18,NA
2005,"Salinas, CA",1430,1296,6,22,106,9,NA
2005,"Salisbury, MD",1212,1027,0,3,182,16,NA
2005,"Salt Lake City, UT",9243,7128,102,273,1740,98,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"San Angelo, TX",270,270,0,0,0,0,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"San Antonio, TX",22305,14706,180,125,7294,372,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"San Diego-Carlsbad-San Marcos, CA",14306,7576,470,608,5652,258,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"San Francisco-Oakland-Fremont, CA",14883,8102,78,294,6409,188,"Metropolitan areas where all permit offices are
    requested to report monthly."
2005,"San Jose-Sunnyvale-Santa Clara, CA",5736,2416,28,202,3090,188,"Metropolitan areas where all permit offices are
    requested to report monthly."
